Age,latitude,longitude,Pin code,Medium (P1),Medium (P2),Ease and convenient,Time saving,Easy Payment option,Good delevery safe ,Good Tracking system,Late Delivery,product damage ,Bad past experience,Unavailability,Long delivery time,Delay of delivery ,Wrong order delivered,Missing item,Influence of time,Order Time,Maximum wait time,Residence in busy location,Google Maps Accuracy,Good Road Condition,Low quantity low time,Delivery person ability,Influence of rating,Less Delivery time,High Quality of package,Number of calls,Politeness,Output,Reviews
24,13.102,77.5864,560064,Normal Post,Post Man pickup,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Yes,Important,Very Important,Very Important,Very Important,Yes,Nil
26,12.9048,77.6821,560036,Speed posst,Post Man pickup,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Agree,Neutral,Strongly Agree,Yes,Important,Very Important,Slightly Important,Important,Yes,NIL
21,12.977,77.5773,560009,Normal Post,Post Man pickup,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Strongly disagree,Disagree,No,Weekend (Sat & Sun),30 minutes,Agree,Neutral,Disagree,Strongly Agree,Agree,Yes,Important,Important,Slightly Important,Moderately Important,Yes,Nil
22,12.977,77.5773,560009,Speed posst,Normal Post,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Yes,Weekend (Sat & Sun),30 minutes,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Yes,Very Important,Very Important,Very Important,Very Important,Yes,NIL
24,12.9337,77.59,560011,Speed posst,Post Man pickup,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,No,Anytime (Mon-Sun),More than 60 minutes,Neutral,Neutral,Agree,Strongly disagree,Agree,Maybe,Unimportant,Slightly Important,Unimportant,Very Important,Yes,NIL
24,12.9037,77.5376,560061,Speed posst,Normal Post,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Strongly disagree,Strongly Agree,Agree,Agree,Yes,Important,Important,Moderately Important,Very Important,Yes,Nil
23,12.977,77.5773,560009,Speed posst,Normal Post,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Agree,Strongly agree,Neutral,Disagree,Neutral,Yes,Weekend (Sat & Sun),45 minutes,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Yes,Important,Very Important,Unimportant,Moderately Important,Yes,NIL
23,12.9343,77.6044,560029,Speed posst,Post Man pickup,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Yes,Weekend (Sat & Sun),45 minutes,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Maybe,Very Important,Very Important,Slightly Important,Very Important,Yes,Nil
22,12.9438,77.5738,560004,Speed posst,Post Man pickup,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Yes,Weekend (Sat & Sun),60 minutes,Agree,Neutral,Neutral,Neutral,Neutral,Yes,Important,Very Important,Unimportant,Moderately Important,Yes,NIL
23,12.977,77.5773,560009,Speed posst,Post Man pickup,Strongly agree,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Agree,Agree,Disagree,Disagree,Yes,Important,Very Important,Moderately Important,Moderately Important,Yes,NIL
24,12.9783,77.6408,560038,Speed posst,Normal Post,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Neutral,Disagree,Agree,Maybe,Very Important,Very Important,Slightly Important,Important,Yes,Nil
24,12.9337,77.59,560011,Speed posst,Post Man pickup,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,No,Anytime (Mon-Sun),More than 60 minutes,Neutral,Neutral,Agree,Strongly disagree,Agree,Maybe,Unimportant,Slightly Important,Unimportant,Very Important,Yes,NIL
25,12.977,77.5773,560009,Speed posst,Normal Post,Agree,Neutral,Agree,Neutral,Agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Strongly disagree,Neutral,Agree,Yes,Important,Important,Important,Very Important,Yes,NIL
25,12.977,77.5773,560009,Speed posst,Normal Post,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Neutral,Disagree,Agree,Maybe,Important,Very Important,Important,Very Important,No,"Now days delivery ?? is improved a lot like fast delivery ,but now corna time many people are hesitating to order "
28,13.0289,77.54,560022,Speed posst,Post Man pickup,Disagree,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,No,Anytime (Mon-Sun),60 minutes,Agree,Neutral,Neutral,Disagree,Neutral,No,Important,Moderately Important,Slightly Important,Slightly Important,No,I hate online deliveries.Had harsh past experiences with delivery boys and the company responses
27,13.0289,77.54,560022,Speed posst,Web browser,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,No,Weekdays (Mon-Fri),45 minutes,Agree,Strongly Agree,Agree,Neutral,Agree,No,Slightly Important,Very Important,Slightly Important,Important,No,nil
26,12.9698,77.75,560066,Speed posst,Web browser,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Yes,Weekend (Sat & Sun),More than 60 minutes,Agree,Agree,Neutral,Neutral,Disagree,Yes,Moderately Important,Important,Important,Important,No,I expect the post that is being delivered to be hot and fresh
22,12.977,77.5773,560009,Speed posst,Normal Post,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Neutral,Yes,Weekdays (Mon-Fri),15 minutes,Agree,Strongly Agree,Agree,Neutral,Agree,Yes,Very Important,Important,Very Important,Important,Yes,I love swiggy and their app user interface
24,12.977,77.5773,560009,Speed posst,Normal Post,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Strongly Agree,Strongly Agree,Neutral,Strongly disagree,Strongly Agree,Yes,Very Important,Very Important,Very Important,Slightly Important,Yes,Nil
23,12.9561,77.5921,560027,Normal Post,Post Man pickup,Neutral,Neutral,Disagree,Neutral,Disagree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Yes,Weekend (Sat & Sun),30 minutes,Agree,Disagree,Agree,Disagree,Agree,Yes,Important,Important,Slightly Important,Moderately Important,Yes,No Comments!
25,12.977,77.5773,560009,Speed posst,Normal Post,Agree,Neutral,Agree,Neutral,Agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Strongly disagree,Neutral,Agree,Yes,Important,Important,Important,Very Important,Yes,NIL
23,13.0206,77.6479,560043,Speed posst,Post Man pickup,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Yes,Weekdays (Mon-Fri),45 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Slightly Important,Moderately Important,Slightly Important,Slightly Important,Yes,Nil
23,13.0206,77.6479,560043,Speed posst,Post Man pickup,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Yes,Weekdays (Mon-Fri),45 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Slightly Important,Moderately Important,Slightly Important,Slightly Important,Yes,Nil
26,12.9579,77.6309,560007,Speed posst,Post Man pickup,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Neutral,No,Weekend (Sat & Sun),60 minutes,Agree,Agree,Neutral,Agree,Agree,No,Important,Important,Moderately Important,Important,No,I expect quality post rather than delivery time and ratings
32,13.014,77.5658,560012,Speed posst,Post Man pickup,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Agree,Neutral,Agree,Neutral,Maybe,Anytime (Mon-Sun),30 minutes,Agree,Neutral,Agree,Agree,Neutral,Yes,Important,Important,Important,Very Important,No,Expect the delivery person to understand our hunger
24,12.9335,77.5691,560028,Speed posst,Post Man pickup,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Yes,Very Important,Very Important,Important,Very Important,No,Nil
23,12.9442,77.6076,560030,Speed posst,Normal Post,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Yes,Weekend (Sat & Sun),45 minutes,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Yes,Very Important,Very Important,Important,Very Important,Yes,Nil
22,12.9698,77.75,560066,Speed posst,Post Man pickup,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Yes,Weekend (Sat & Sun),45 minutes,Strongly Agree,Agree,Neutral,Disagree,Neutral,Yes,Very Important,Important,Moderately Important,Important,Yes,NIL
24,12.9438,77.5738,560004,Speed posst,Post Man pickup,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Yes,Anytime (Mon-Sun),30 minutes,Agree,Neutral,Agree,Strongly Agree,Agree,Yes,Important,Very Important,Important,Moderately Important,Yes,Need more delivery bandwidth even in rural areas
26,12.9261,77.6221,560034,Speed posst,Normal Post,Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Agree,Yes,Anytime (Mon-Sun),15 minutes,Agree,Agree,Strongly Agree,Neutral,Agree,No,Important,Important,Moderately Important,Important,Yes,Requires professional packaging with no leakage
28,12.9698,77.75,560066,Speed posst,Web browser,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Yes,Very Important,Very Important,Very Important,Very Important,No,NIL
26,12.9698,77.75,560066,Speed posst,Normal Post,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Agree,Yes,Weekend (Sat & Sun),45 minutes,Strongly disagree,Agree,Strongly Agree,Agree,Agree,Yes,Important,Moderately Important,Important,Important,No,Need more delivery people to cover all orders
25,12.9343,77.6044,560029,Speed posst,Post Man pickup,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Weekend (Sat & Sun),30 minutes,Strongly Agree,Neutral,Agree,Neutral,Neutral,Yes,Important,Moderately Important,Important,Moderately Important,Yes,Nil
25,12.9698,77.75,560066,Speed posst,Web browser,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Yes,Anytime (Mon-Sun),30 minutes,Disagree,Neutral,Agree,Agree,Neutral,No,Important,Very Important,Slightly Important,Very Important,No,NIL
18,12.9635,77.5821,560002,Speed posst,Web browser,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Neutral,Strongly disagree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Neutral,Agree,Agree,Yes,Important,Moderately Important,Important,Important,Yes,NIL
21,12.977,77.5773,560009,Speed posst,Normal Post,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Agree,Agree,Strongly Agree,Yes,Moderately Important,Important,Very Important,Very Important,Yes,nil
25,12.9343,77.6044,560029,Speed posst,Post Man pickup,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Weekend (Sat & Sun),30 minutes,Strongly Agree,Neutral,Agree,Neutral,Neutral,Yes,Important,Moderately Important,Important,Moderately Important,Yes,Nil
25,12.9925,77.5633,560021,Normal Post,Post Man pickup,Strongly agree,Disagree,Strongly agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Yes,Weekend (Sat & Sun),45 minutes,Strongly disagree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Yes,Important,Important,Important,Very Important,Yes,No
23,13.0206,77.6479,560043,Speed posst,Post Man pickup,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Yes,Weekdays (Mon-Fri),45 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Slightly Important,Moderately Important,Slightly Important,Slightly Important,Yes,Nil
23,12.985,77.5533,560010,Speed posst,Post Man pickup,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Neutral,Agree,Agree,Neutral,Yes,Very Important,Very Important,Very Important,Very Important,Yes,Want different cuisine dishes options in my location
25,12.9551,77.6593,560017,Speed posst,Post Man pickup,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Maybe,Anytime (Mon-Sun),15 minutes,Agree,Strongly Agree,Agree,Neutral,Agree,Yes,Very Important,Very Important,Very Important,Very Important,No,I had bad experience with delivery person. They need to be polite
31,13.0289,77.54,560022,Speed posst,Web browser,Agree,Neutral,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Agree,Neutral,Agree,Disagree,Agree,Yes,Important,Very Important,Very Important,Very Important,Yes,I'm happy with the service of online delivery startups
24,13.0138,77.5877,560006,Speed posst,Post Man pickup,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),15 minutes,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Yes,Very Important,Very Important,Very Important,Very Important,No,I need the order to be delivered fast to my location
32,12.9261,77.6221,560034,Speed posst,Web browser,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Yes,Anytime (Mon-Sun),60 minutes,Agree,Agree,Agree,Agree,Disagree,Yes,Important,Moderately Important,Important,Moderately Important,Yes,I'm satisfied with the service of swiggy
25,12.9766,77.5993,560001,Speed posst,Post Man pickup,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Yes,Very Important,Very Important,Important,Moderately Important,Yes,"I'm satisfied with zomato, I'm also a premium member"
27,12.9766,77.5993,560001,Speed posst,Normal Post,Disagree,Disagree,Agree,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Yes,Very Important,Important,Very Important,Very Important,No,"Freshness is important but when it is packed by the usual package, I feel it's losing it is freshness and quality"
26,12.9766,77.5993,560001,Speed posst,Web browser,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,No,Weekdays (Mon-Fri),More than 60 minutes,Agree,Agree,Strongly Agree,Agree,Strongly Agree,No,Important,Important,Slightly Important,Slightly Important,Yes,I have no problem with the delivery service. I'm satisfied
26,12.9635,77.5821,560002,Speed posst,Web browser,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Neutral,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Neutral,Agree,Agree,Yes,Very Important,Very Important,Very Important,Very Important,Yes,I love ordering from online as they have more varieties and discounts
32,12.9635,77.5821,560002,Speed posst,Web browser,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Agree,Agree,Agree,Yes,Very Important,Important,Moderately Important,Important,Yes,Online delivery requires much hygiene consciousness now than ever before
24,12.9635,77.5821,560002,Speed posst,Post Man pickup,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Important,Very Important,Very Important,Very Important,No,"I had bad experiences with delivery person, they need to be polite when asking for location and avoid asking us to come to a particular location to get the post"
27,12.9635,77.5821,560002,Speed posst,Web browser,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Neutral,Strongly disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Yes,Important,Very Important,Very Important,Very Important,Yes,I'm satisfied with the delivery service
23,12.977,77.5773,560009,Speed posst,Post Man pickup,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Yes,Weekend (Sat & Sun),30 minutes,Disagree,Agree,Agree,Agree,Agree,No,Important,Important,Moderately Important,Very Important,Yes,NIL
25,12.977,77.5773,560009,Speed posst,Post Man pickup,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Yes,Very Important,Very Important,Important,Very Important,Yes,None
23,12.977,77.5773,560009,Speed posst,Post Man pickup,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Yes,Weekend (Sat & Sun),30 minutes,Disagree,Agree,Agree,Agree,Agree,No,Important,Important,Moderately Important,Very Important,Yes,NIL
23,13.0487,77.5923,560024,Speed posst,Post Man pickup,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Yes,Weekend (Sat & Sun),45 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Important,Important,Moderately Important,Moderately Important,Yes,Nil
28,13.0019,77.5713,560003,Speed posst,Post Man pickup,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,No,Anytime (Mon-Sun),60 minutes,Agree,Strongly Agree,Strongly Agree,Agree,Agree,No,Important,Important,Slightly Important,Important,Yes,I'm satisfied with the current service of swiggy and zomato
32,13.0019,77.5713,560003,Speed posst,Web browser,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Yes,Very Important,Important,Important,Very Important,No,I require faster delivery with minimum calls
23,13.0019,77.5713,560003,Speed posst,Post Man pickup,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Strongly Agree,Disagree,Disagree,Yes,Important,Very Important,Very Important,Very Important,Yes,NIL
19,13.0019,77.5713,560003,Speed posst,Web browser,Agree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Yes,Anytime (Mon-Sun),15 minutes,Agree,Strongly Agree,Agree,Strongly Agree,Agree,No,Important,Very Important,Very Important,Important,No,I had bad experiences with the post delivered to me
19,12.9537,77.6176,560047,Speed posst,Normal Post,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Disagree,Agree,Agree,Disagree,Agree,Yes,Important,Important,Slightly Important,Slightly Important,Yes,nil
27,12.9698,77.75,560066,Speed posst,Normal Post,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Maybe,Anytime (Mon-Sun),30 minutes,Neutral,Disagree,Disagree,Neutral,Neutral,Yes,Important,Very Important,Slightly Important,Moderately Important,No,Nil
25,12.998,77.6227,560005,Speed posst,Web browser,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Neutral,Agree,Neutral,Agree,Yes,Important,Very Important,Important,Very Important,Yes,I love swiggy !!
33,12.998,77.6227,560005,Speed posst,Post Man pickup,Agree,Disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Neutral,Agree,Agree,Agree,Yes,Very Important,Very Important,Very Important,Very Important,No,I once had damaged package from zomato and they declined to offer me refund.worst behavior !
26,12.998,77.6227,560005,Speed posst,Web browser,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Neutral,Disagree,Agree,Strongly agree,Agree,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Agree,Agree,Agree,No,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Yes,I'm satisfied with swiggy and their wonderful offers
22,12.9343,77.6044,560029,Speed posst,Post Man pickup,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Yes,Weekend (Sat & Sun),45 minutes,Disagree,Neutral,Disagree,Disagree,Disagree,Yes,Important,Moderately Important,Important,Moderately Important,Yes,Nil
23,13.102,77.5864,560064,Speed posst,Normal Post,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Yes,Important,Important,Important,Important,No,Nil
22,13.0158,77.539,560096,Speed posst,Normal Post,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Neutral,Disagree,Strongly disagree,Agree,Disagree,Agree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Agree,Agree,Agree,Yes,Important,Important,Slightly Important,Slightly Important,Yes,"Prices of post items differ while using different smartphones to order at the same time. So, there is no uniform pricing system in Speed posst. But yes, they add a lot of convenience in our lives!"
25,12.998,77.6227,560005,Speed posst,Web browser,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Maybe,Important,Important,Very Important,Very Important,Yes,I'm okay ordering online for post
30,12.998,77.6227,560005,Speed posst,Post Man pickup,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,No,Weekdays (Mon-Fri),30 minutes,Agree,Agree,Strongly Agree,Agree,Strongly Agree,No,Important,Very Important,Very Important,Very Important,Yes,I love ordering candies for my children from swiggy
24,13.0138,77.5877,560006,Speed posst,Web browser,Disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),15 minutes,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Yes,Important,Very Important,Important,Very Important,No,I hate zomato and post panda. Poor tracking and poor customer service
25,13.0138,77.5877,560006,Speed posst,Web browser,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Disagree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Strongly Agree,Agree,Agree,No,Important,Important,Very Important,Very Important,Yes,Best service is provided by swiggy
23,12.977,77.5773,560009,Speed posst,Post Man pickup,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),45 minutes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Yes,Very Important,Very Important,Very Important,Very Important,Yes,Nil
24,13.0496,77.4941,560073,Speed posst,Post Man pickup,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Yes,Anytime (Mon-Sun),30 minutes,Agree,Neutral,Neutral,Strongly disagree,Neutral,No,Very Important,Very Important,Very Important,Important,Yes,Nil
32,12.9783,77.6408,560038,Speed posst,Normal Post,Agree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Yes,Weekend (Sat & Sun),30 minutes,Neutral,Neutral,Agree,Neutral,Agree,Yes,Moderately Important,Important,Important,Moderately Important,Yes,NIL
22,12.9889,77.5741,560020,Speed posst,Post Man pickup,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Disagree,Neutral,Disagree,Agree,Neutral,Yes,Slightly Important,Moderately Important,Important,Slightly Important,Yes,NIL
